timestamp,run_type,max_depth,n_estimators,learning_rate,subsample,min_samples_leaf,train_rmse,val_rmse,val_mae,train_val_gap
2026-08-29T14:32:51.223547+00:00,tune_candidate,2,300,0.03,0.7,5,34.40600706732851,47.97573304082172,33.822125549176654,13.569725973493213
2026-08-29T14:32:51.851905+00:00,tune_candidate,2,300,0.03,0.7,10,35.18913919967894,47.387303939308445,33.41077846772515,12.198164739629505
2026-08-29T14:32:52.551247+00:00,tune_candidate,2,300,0.03,0.85,1,34.35538651480919,48.35830214123724,33.85093835529884,14.002915626428049
2026-08-29T14:32:53.286562+00:00,tune_candidate,2,300,0.03,0.85,5,34.68568674391473,48.41969401602308,34.05426675862161,13.73400727210835
2026-08-29T14:32:54.014664+00:00,tune_candidate,2,300,0.03,0.85,10,35.22333666456602,47.29418338301231,33.389879902406065,12.07084671844629
2026-08-29T14:32:54.777990+00:00,tune_candidate,2,300,0.03,1.0,1,34.49876930863411,47.5773392691266,33.40505426185599,13.078569960492487
2026-08-29T14:32:55.619981+00:00,tune_candidate,2,300,0.03,1.0,5,34.6829452867328,47.534793277390214,33.439607173260875,12.851847990657411
2026-08-29T14:32:56.443091+00:00,tune_candidate,2,300,0.03,1.0,10,35.338061090818,47.167990334109625,33.34687399659371,11.829929243291623
2026-08-29T14:32:57.142267+00:00,tune_candidate,2,300,0.05,0.7,1,30.75498710891103,47.95743812684762,33.813707980285955,17.20245101793659
2026-08-29T14:32:57.834615+00:00,tune_candidate,2,300,0.05,0.7,5,31.7037082065268,47.68789445394918,33.50218317245662,15.984186247422375
2026-08-29T14:32:58.779536+00:00,tune_candidate,2,300,0.05,0.7,10,31.81334549576404,48.26108600998523,34.252595707515574,16.447740514221188
2026-08-29T14:32:59.763953+00:00,tune_candidate,2,300,0.05,0.85,1,30.879791081111822,47.78203792045396,33.636809638131986,16.902246839342137
2026-08-29T14:33:01.063026+00:00,tune_candidate,2,300,0.05,0.85,5,31.481104277832333,47.96572120108211,33.703893199760806,16.484616923249778
2026-08-29T14:33:02.100044+00:00,tune_candidate,2,300,0.05,0.85,10,31.862436870601158,46.74700792636827,33.154880250977634,14.884571055767111
2026-08-29T14:33:03.717066+00:00,tune_candidate,2,300,0.05,1.0,1,31.69302615574059,48.66452328788629,34.1155240992017,16.9714971321457
2026-08-29T14:33:05.460864+00:00,tune_candidate,2,300,0.05,1.0,5,31.7855825304615,47.54800289890136,33.72506330609366,15.762420368439859
2026-08-29T14:33:06.956529+00:00,tune_candidate,2,300,0.05,1.0,10,32.79038849199064,46.70648627205365,33.23530394608079,13.916097780063012
2026-08-29T14:33:07.300112+00:00,tune_candidate,3,100,0.03,0.7,1,35.55165364154821,48.04884519468688,34.15592496993374,12.497191553138677
2026-08-29T14:33:07.731891+00:00,tune_candidate,3,100,0.03,0.7,5,35.693703692499426,47.744275486588506,33.852654024236216,12.05057179408908
2026-08-29T14:33:08.041079+00:00,tune_candidate,3,100,0.03,0.7,10,36.39703016019819,48.0810689775364,34.18948616606526,11.684038817338205
2026-08-29T14:33:08.426523+00:00,tune_candidate,3,100,0.03,0.85,1,35.422352150115884,48.301106560623644,34.13960619711352,12.87875441050776
2026-08-29T14:33:08.822773+00:00,tune_candidate,3,100,0.03,0.85,5,35.608794699475496,47.551192024816494,33.724452480391776,11.942397325340998
2026-08-29T14:33:09.166697+00:00,tune_candidate,3,100,0.03,0.85,10,36.100640690104385,47.95238816204505,33.98536422496003,11.851747471940662
2026-08-29T14:33:09.605671+00:00,tune_candidate,3,100,0.03,1.0,1,35.69088171491562,49.190868315187224,34.77096920503157,13.499986600271605
2026-08-29T14:33:09.999185+00:00,tune_candidate,3,100,0.03,1.0,5,35.8041860009109,48.55476099553242,34.45135860157941,12.750574994621516
2026-08-29T14:33:10.478039+00:00,tune_candidate,3,100,0.03,1.0,10,36.12549915925148,48.279325088104706,34.32130945526392,12.153825928853223
2026-08-29T14:33:10.805678+00:00,tune_candidate,3,100,0.05,0.7,1,32.051314751325016,48.00443990072516,33.61531616258569,15.953125149400144
2026-08-29T14:33:11.127969+00:00,tune_candidate,3,100,0.05,0.7,5,32.77049846436725,47.10605272617586,33.17483798239866,14.33555426180861
2026-08-29T14:33:11.419185+00:00,tune_candidate,3,100,0.05,0.7,10,33.233586874166384,47.31445766753624,33.04358629350438,14.080870793369854
2026-08-29T14:33:11.790270+00:00,tune_candidate,3,100,0.05,0.85,1,32.510987443815175,47.57617746255803,33.319828620107494,15.065190018742854
2026-08-29T14:33:12.161705+00:00,tune_candidate,3,100,0.05,0.85,5,32.53631494015572,47.738453175184574,33.73860695533717,15.202138235028855
